UID	Course	WhiteSpace	LastLine	Indent
14235	100	0.684210526316	0.740740740741	0.833333333333
15324	100	0.913043478261	0.774193548387	1.0
17641	100	0.933333333333	0.774193548387	1.0
25080	100	1.0	0.774193548387	1.0
39085	100	0.933333333333	0.774193548387	1.0
50247	100	1.0	0.774193548387	0.949494949495
58028	100	0.933333333333	0.774193548387	1.0
62816	100	0.933333333333	0.774193548387	1.0
65719	100	0.933333333333	0.774193548387	1.0
69403	100	0.933333333333	0.774193548387	1.0
69511	100	0.933333333333	0.774193548387	1.0
72002	100	0.978723404255	0.774193548387	1.0
76191	100	0.933333333333	0.774193548387	1.0
76399	100	0.933333333333	0.774193548387	1.0
14235	102	0.357142857143	1.0	1.0
15324	102	0.357142857143	1.0	0.888888888889
17641	102	0.357142857143	1.0	0.888888888889
25080	102	0.606060606061	1.0	0.888888888889
39085	102	0.5625	1.0	0.888888888889
50247	102	0.357142857143	1.0	0.888888888889
58028	102	0.5625	1.0	0.888888888889
58091	102	0.357142857143	1.0	0.888888888889
62816	102	0.357142857143	1.0	0.888888888889
65719	102	0.357142857143	1.0	0.888888888889
69403	102	0.357142857143	1.0	0.888888888889
69511	102	0.357142857143	1.0	0.888888888889
72002	102	0.516129032258	1.0	0.888888888889
76191	102	0.357142857143	1.0	0.888888888889
76399	102	0.357142857143	1.0	0.888888888889
39085	21	0.533333333333	0.923076923077	0.911111111111
39085	24	0.95652173913	1.0	1.0
76191	24	0.533333333333	1.0	1.0
39085	26	0.571428571429	1.0	1.0
76191	26	0.25	0.941176470588	0.925925925926
39085	30	0.526315789474	1.0	1.0
76399	30	0.0697674418605	1.0	1.0
15324	31	1.0	1.0	1.0
17641	31	1.0	1.0	1.0
25080	31	1.0	1.0	1.0
39085	31	1.0	1.0	1.0
65719	31	1.0	1.0	1.0
39085	32	0.952380952381	1.0	1.0
39085	33	0.952380952381	1.0	0.880952380952
39085	34	0.933333333333	1.0	0.830687830688
39085	37	0.692307692308	1.0	1.0
25080	38	0.736842105263	1.0	1.0
39085	38	0.428571428571	1.0	1.0
25080	39	0.782608695652	0.846153846154	1.0
39085	39	0.947368421053	1.0	0.878787878788
